,LINK_ID,DATA,HOUR,SPEED
614,4130024000,20210430,3,36.0
615,4130024000,20210430,4,36.0
616,4130024000,20210430,5,36.0
617,4130024000,20210430,6,24.0
618,4130024000,20210430,7,18.0
619,4130024000,20210430,8,18.0
620,4130024000,20210430,9,16.0
621,4130024000,20210430,10,16.0
622,4130024000,20210430,11,16.0
623,4130024000,20210430,12,16.0
624,4130024000,20210430,14,16.0
625,4130024000,20210430,15,16.0
626,4130024000,20210430,16,16.0
627,4130024000,20210430,17,16.0
628,4130024000,20210430,18,16.0
629,4130024000,20210430,19,16.0
630,4130024000,20210430,20,16.0
631,4130024000,20210430,21,16.0
632,4130024000,20210430,22,16.0
633,4130024000,20210430,23,16.0
634,4130024100,20210430,0,39.0
635,4130024100,20210430,1,39.0
636,4130024100,20210430,2,39.0
637,4130024100,20210430,3,37.0
638,4130024100,20210430,4,37.0
639,4130024100,20210430,5,39.0
640,4130024100,20210430,6,29.0
641,4130024100,20210430,7,26.0
642,4130024100,20210430,8,30.0
643,4130024100,20210430,9,28.0
644,4130024100,20210430,10,24.0
645,4130024100,20210430,11,21.0
646,4130024100,20210430,12,17.0
647,4130024100,20210430,14,17.0
648,4130024100,20210430,15,19.0
649,4130024100,20210430,16,18.0
650,4130024100,20210430,17,19.0
651,4130024100,20210430,18,20.0
652,4130024100,20210430,19,22.0
653,4130024100,20210430,20,20.0
654,4130024100,20210430,21,18.0
655,4130024100,20210430,22,19.0
656,4130024100,20210430,23,19.0
657,4130024200,20210430,0,36.0
658,4130024200,20210430,1,36.0
659,4130024200,20210430,2,36.0
660,4130024200,20210430,3,37.0
661,4130024200,20210430,4,37.0
662,4130024200,20210430,5,36.0
663,4130024200,20210430,6,34.0
664,4130024200,20210430,7,33.0
665,4130024200,20210430,8,32.0
666,4130024200,20210430,9,30.0
667,4130024200,20210430,10,28.0
668,4130024200,20210430,11,27.0
669,4130024200,20210430,12,31.0
670,4130024200,20210430,14,34.0
671,4130024200,20210430,15,35.0
672,4130024200,20210430,16,35.0
673,4130024200,20210430,17,34.0
674,4130024200,20210430,18,34.0
675,4130024200,20210430,19,33.0
676,4130024200,20210430,20,33.0
677,4130024200,20210430,21,33.0
678,4130024200,20210430,22,33.0
679,4130024200,20210430,23,33.0
680,4130024300,20210430,6,24.0
681,4130024300,20210430,8,32.0
682,4130024300,20210430,10,39.0
683,4130024400,20210430,12,30.0
684,4130024400,20210430,17,24.0
685,4130024700,20210430,12,43.0
686,4130024900,20210430,0,49.0
687,4130024900,20210430,1,49.0
688,4130024900,20210430,2,42.0
689,4130024900,20210430,3,42.0
690,4130024900,20210430,4,42.0
691,4130024900,20210430,5,41.0
692,4130024900,20210430,6,46.0
693,4130024900,20210430,7,46.0
694,4130024900,20210430,8,46.0
695,4130024900,20210430,9,42.0
696,4130024900,20210430,10,32.0
697,4130024900,20210430,11,33.0
698,4130024900,20210430,12,4.0
699,4130024900,20210430,14,35.0
700,4130024900,20210430,15,24.0
701,4130024900,20210430,16,24.0
702,4130024900,20210430,17,32.0
703,4130024900,20210430,18,38.0
704,4130024900,20210430,19,39.0
705,4130024900,20210430,20,35.0
706,4130024900,20210430,21,29.0
707,4130024900,20210430,22,25.0
708,4130024900,20210430,23,25.0
709,4130025000,20210430,0,35.0
710,4130025000,20210430,1,35.0
711,4130025000,20210430,2,35.0
712,4130025000,20210430,3,35.0
713,4130025000,20210430,4,35.0
714,4130025000,20210430,5,35.0
715,4130025000,20210430,6,44.0
716,4130025000,20210430,7,44.0
717,4130025000,20210430,8,39.0
718,4130025000,20210430,9,29.0
719,4130025000,20210430,10,28.0
720,4130025000,20210430,11,23.0
721,4130025000,20210430,12,27.0
722,4130025000,20210430,14,23.0
723,4130025000,20210430,15,39.0
724,4130025000,20210430,16,34.0
725,4130025000,20210430,17,36.0
726,4130025000,20210430,18,41.0
727,4130025000,20210430,19,34.0
728,4130025000,20210430,20,36.0
729,4130025000,20210430,21,36.0
730,4130025000,20210430,22,36.0
731,4130025000,20210430,23,36.0
732,4130025100,20210430,0,41.0
733,4130025100,20210430,1,41.0
734,4130025100,20210430,2,41.0
735,4130025100,20210430,3,41.0
736,4130025100,20210430,4,41.0
737,4130025100,20210430,5,41.0
738,4130025100,20210430,6,37.0
739,4130025100,20210430,7,34.0
740,4130025100,20210430,8,33.0
741,4130025100,20210430,9,34.0
742,4130025100,20210430,10,37.0
743,4130025100,20210430,11,38.0
744,4130025100,20210430,12,39.0
745,4130025100,20210430,14,36.0
746,4130025100,20210430,15,36.0
747,4130025100,20210430,16,36.0
748,4130025100,20210430,17,36.0
749,4130025100,20210430,18,36.0
750,4130025100,20210430,19,36.0
751,4130025100,20210430,20,36.0
752,4130025100,20210430,21,36.0
753,4130025100,20210430,22,36.0
754,4130025100,20210430,23,36.0
755,4130025200,20210430,0,36.0
756,4130025200,20210430,1,36.0
757,4130025200,20210430,2,36.0
758,4130025200,20210430,3,36.0
759,4130025200,20210430,4,36.0
760,4130025200,20210430,5,36.0
761,4130025200,20210430,6,29.0
762,4130025200,20210430,7,24.0
763,4130025200,20210430,8,24.0
764,4130025200,20210430,9,25.0
765,4130025200,20210430,10,26.0
766,4130025200,20210430,11,27.0
767,4130025200,20210430,12,27.0
768,4130025200,20210430,14,26.0
769,4130025200,20210430,15,25.0
770,4130025200,20210430,16,33.0
771,4130025200,20210430,17,37.0
772,4130025200,20210430,18,37.0
773,4130025200,20210430,19,37.0
774,4130025200,20210430,20,37.0
775,4130025200,20210430,21,37.0
776,4130025200,20210430,22,37.0
777,4130025200,20210430,23,37.0
778,4130025300,20210430,0,35.0
779,4130025300,20210430,1,35.0
780,4130025300,20210430,2,35.0
781,4130025300,20210430,3,35.0
782,4130025300,20210430,4,35.0
783,4130025300,20210430,5,35.0
784,4130025300,20210430,6,23.0
785,4130025300,20210430,7,21.0
786,4130025300,20210430,8,25.0
787,4130025300,20210430,9,25.0
788,4130025300,20210430,10,25.0
789,4130025300,20210430,11,25.0
790,4130025300,20210430,12,25.0
791,4130025300,20210430,14,25.0
792,4130025300,20210430,15,22.0
793,4130025300,20210430,16,22.0
794,4130025300,20210430,17,23.0
795,4130025300,20210430,18,25.0
796,4130025300,20210430,19,25.0
797,4130025300,20210430,20,25.0
798,4130025300,20210430,21,25.0
799,4130025300,20210430,22,25.0
800,4130025300,20210430,23,25.0
801,4130026500,20210430,9,28.0
802,4130026500,20210430,10,20.0
803,4130026500,20210430,12,25.0
804,4130026500,20210430,17,32.0
805,4130026500,20210430,19,37.0
806,4130026500,20210430,22,25.0
807,4130026600,20210430,5,34.0
808,4130026600,20210430,7,39.0
809,4130026600,20210430,8,26.0
810,4130026600,20210430,11,22.0
811,4130026600,20210430,17,38.0
812,4130026600,20210430,18,41.0
813,4130026600,20210430,19,25.0
814,4130103800,20210430,0,45.0
815,4130103800,20210430,1,45.0
816,4130103800,20210430,2,45.0
817,4130103800,20210430,3,42.0
818,4130103800,20210430,4,42.0
