,LINK_ID,HOUR,SPEED
289,4130018800,19,28.9
290,4130018800,20,29.2
291,4130018800,21,29.2
292,4130018800,22,29.2
293,4130018800,23,29.2
294,4130018900,0,35.0
295,4130018900,1,35.0
296,4130018900,2,35.0
297,4130018900,3,35.0
298,4130018900,4,35.0
299,4130018900,5,35.0
300,4130018900,6,31.9
301,4130018900,7,29.0
302,4130018900,8,28.2
303,4130018900,9,28.7
304,4130018900,10,30.7
305,4130018900,11,29.3
306,4130018900,12,28.5
307,4130018900,13,29.0
308,4130018900,14,26.4
309,4130018900,15,25.8
310,4130018900,16,27.8
311,4130018900,17,27.8
312,4130018900,18,26.0
313,4130018900,19,24.9
314,4130018900,20,27.4
315,4130018900,21,30.3
316,4130018900,22,28.6
317,4130018900,23,28.4
318,4130019000,0,36.0
319,4130019000,1,36.0
320,4130019000,2,36.0
321,4130019000,3,36.0
322,4130019000,4,36.0
323,4130019000,5,36.0
324,4130019000,6,27.2
325,4130019000,7,21.9
326,4130019000,8,20.1
327,4130019000,9,19.1
328,4130019000,10,20.1
329,4130019000,11,21.4
330,4130019000,12,21.3
331,4130019000,13,21.22222222222222
332,4130019000,14,22.6
333,4130019000,15,22.4
334,4130019000,16,21.0
335,4130019000,17,20.3
336,4130019000,18,21.2
337,4130019000,19,22.5
338,4130019000,20,23.7
339,4130019000,21,24.3
340,4130019000,22,25.2
341,4130019000,23,24.7
342,4130019100,19,4.0
343,4130019200,7,27.0
344,4130019200,15,15.0
345,4130019300,0,35.0
346,4130019300,1,35.0
347,4130019300,2,35.0
348,4130019300,3,35.0
349,4130019300,4,35.0
350,4130019300,5,35.0
351,4130019300,6,31.5
352,4130019300,7,27.9
353,4130019300,8,27.5
354,4130019300,9,26.8
355,4130019300,10,29.7
356,4130019300,11,32.6
357,4130019300,12,30.8
358,4130019300,13,31.22222222222222
359,4130019300,14,32.1
360,4130019300,15,33.1
361,4130019300,16,32.0
362,4130019300,17,27.9
363,4130019300,18,30.5
364,4130019300,19,34.5
365,4130019300,20,37.6
366,4130019300,21,38.6
367,4130019300,22,34.7
368,4130019300,23,37.8
369,4130019400,0,35.0
370,4130019400,1,35.0
371,4130019400,2,35.0
372,4130019400,3,35.8
373,4130019400,4,36.5
374,4130019400,5,36.2
375,4130019400,6,29.1
376,4130019400,7,28.2
377,4130019400,8,26.0
378,4130019400,9,29.2
379,4130019400,10,31.4
380,4130019400,11,31.7
381,4130019400,12,30.2
382,4130019400,13,24.11111111111111
383,4130019400,14,27.7
384,4130019400,15,31.7
385,4130019400,16,32.6
386,4130019400,17,33.2
387,4130019400,18,35.4
388,4130019400,19,35.4
389,4130019400,20,32.8
390,4130019400,21,30.3
391,4130019400,22,29.3
392,4130019400,23,28.6
393,4130019600,10,44.0
394,4130019600,14,34.0
395,4130019700,0,36.0
396,4130019700,1,36.0
397,4130019700,2,36.0
398,4130019700,3,36.0
399,4130019700,4,36.0
400,4130019700,5,36.0
